variables,,,,,,,,,,,,,
spname,varID,idTSN,varname,description,varclass,valueTSN,varmethod,varvalue,tLatest,units,ECMIN,ECMAX,ECDEF
tester,1000,U4,AlarmDetails,Details of the alarm in AlarmID as passed up from the equipment.,DVVAL,A,return $varvalue,,,,,,
tester,1010,U4,AlarmID,The ALID of the alarm most recently sent to the host.,DVVAL,U4,return $varvalue,0,,,,,
tester,1020,U4,CarrierID,Identification of the most-recently handled FOUP.,DVVAL,A,return $varvalue,,,,,,
tester,1022,U4,CJPauseReason,The reason a control job pause request was issued by equipment to vgem.,DVVAL,A,return $varvalue,""
tester,1030,U4,ClassCnt,List of counts for all the classes defined for the equipment (e.g.GOOD BAD.,DVVAL,L,return $varvalue,,,,,,
tester,1040,U4,ClassID,List of bin classes on equipment.,DVVAL,L,return $varvalue,,,,,,
tester,1050,U4,ClassName,Name tag for high-level class information.,DVVAL,L,return $varvalue,,,,,,
tester,1060,U4,CurrentDieFileName,The location and name of the current/last die test result file written to disk.,DVVAL,A,return $varvalue,,,,,,
tester,1070,U4,CurrentWaferResultFile,The location and name of the current/last wafer test result file written to disk.,DVVAL,A,return $varvalue,,,,,,
tester,1080,U4,DatalogConfig,The file location to which processing data is written.,DVVAL,A,return $varvalue,,,,,,
tester,1090,U4,DeviceUnitID,Unit serial number of the device under test.,DVVAL,L,return $varvalue,,,,,,
tester,1100,U4,DieEndTime,YYYYMMDDhhmmss.  The time the most-recent die test ended.  0 if no die in the current lot has completed and when no lot is in process.,DVVAL,A,return $varvalue,0,,,,,
tester,1110,U4,DiePositionXUnderTest,The X position on the die of the most-recently reported test.,DVVAL,I4,return $varvalue,0,,,,,
tester,1120,U4,DiePositionYUnderTest,The Y position on the die of the most-recently reported test.,DVVAL,I4,return $varvalue,0,,,,,
tester,1130,U4,DieStartTime,YYYYMMDDhhmmss.  The time the most-recent die test started.  0 if no die in the current lot has been started and when no lot is in process.,DVVAL,A,return $varvalue,0,,,,,
tester,1140,U4,DieSpecFileName,The list of die specification file names for the current test.,DVVAL,A,return $varvalue,
tester,1150,U4,DieTestSpecNames,The list of pairs of die file names and test file names for the current test.,DVVAL,A,return $varvalue,
tester,1160,U4,ECIDChangeName,The last equipment constant ECID,DVVAL,U4,return $varvalue,0
tester,1170,U4,EventText,A text description of the Collection Event most recently sent to the host.,DVVAL,A,return $varvalue,
tester,1180,U4,EventLimit,The LIMITID(s of the limit reached by LimitVariable(s.,DVVAL,L,return $varvalue,
